change screen		change manual		learn
IN_OPEN		IN_OPEN		IN_OPEN
IN_ACCESS		IN_ACCESS		IN_ACCESS
IN_CLOSE_NOWRITE		IN_CLOSE_NOWRITE		IN_CLOSE_NOWRITE
IN_MODIFY		IN_OPEN		IN_OPEN
IN_OPEN		IN_ACCESS		IN_ACCESS
IN_MODIFY		IN_CLOSE_NOWRITE		IN_CLOSE_NOWRITE
IN_MODIFY		IN_MODIFY		IN_MODIFY
IN_CLOSE_WRITE		IN_MODIFY		IN_OPEN
IN_OPEN		IN_OPEN		IN_ACCESS
IN_CLOSE_NOWRITE		IN_ACCESS		IN_CLOSE_NOWRITE
IN_OPEN		IN_CLOSE_NOWRITE		IN_MODIFY
IN_ACCESS		IN_OPEN		IN_OPEN
IN_CLOSE_NOWRITE		IN_CLOSE_NOWRITE		IN_CLOSE_NOWRITE
		IN_OPEN		IN_OPEN
		IN_ACCESS		IN_ACCESS
		IN_CLOSE_NOWRITE		IN_CLOSE_NOWRITE
		IN_OPEN		IN_OPEN
		IN_ACCESS		IN_ACCESS
		IN_CLOSE_NOWRITE		IN_CLOSE_NOWRITE
